Filename	JLR-7-050
Instrument name	5500-0678 (172.23.188.15)
Operator	jlr452
rundate	2/23/2025
Sample name	JLR-7-050
proceduresegments	Select Gas: Gas 2 ; Ramp 10.00 °C/min to 600.00 °C
[step]
Ramp 10.00 °C/min to 600.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.08	20.80	2.305	99.983
0.25	20.81	2.305	99.945
0.42	21.00	2.304	99.925
0.58	21.90	2.304	99.907
0.75	23.34	2.303	99.865
0.92	24.94	2.302	99.815
1.08	26.61	2.300	99.760
1.25	28.30	2.299	99.705
1.42	30.02	2.298	99.647
1.58	31.73	2.296	99.591
1.75	33.43	2.295	99.534
1.92	35.13	2.294	99.479
2.08	36.83	2.293	99.424
2.25	38.53	2.291	99.370
2.42	40.22	2.290	99.317
2.58	41.90	2.289	99.266
2.75	43.58	2.288	99.215
2.92	45.26	2.287	99.166
3.08	46.94	2.286	99.118
3.25	48.62	2.284	99.070
3.42	50.29	2.283	99.023
3.58	51.95	2.282	98.978
3.75	53.62	2.281	98.935
3.92	55.29	2.280	98.890
4.08	56.96	2.279	98.845
4.25	58.62	2.278	98.802
4.42	60.28	2.277	98.759
4.58	61.94	2.276	98.717
4.75	63.60	2.275	98.675
4.92	65.26	2.274	98.635
5.08	66.92	2.273	98.595
5.25	68.58	2.273	98.556
5.42	70.24	2.272	98.516
5.58	71.90	2.271	98.476
5.75	73.56	2.270	98.436
5.92	75.22	2.269	98.397
6.08	76.88	2.268	98.359
6.25	78.54	2.267	98.321
6.42	80.19	2.266	98.284
6.58	81.85	2.265	98.245
6.75	83.50	2.264	98.206
6.92	85.16	2.264	98.169
7.08	86.83	2.263	98.132
7.25	88.48	2.262	98.095
7.42	90.13	2.261	98.059
7.58	91.79	2.260	98.022
7.75	93.45	2.259	97.986
7.92	95.10	2.259	97.953
8.08	96.76	2.258	97.918
8.25	98.42	2.257	97.884
8.42	100.07	2.256	97.851
8.58	101.72	2.256	97.818
8.75	103.38	2.255	97.787
8.92	105.04	2.254	97.755
9.08	106.69	2.253	97.724
9.25	108.34	2.253	97.694
9.42	109.99	2.252	97.666
9.58	111.65	2.251	97.637
9.75	113.31	2.251	97.610
9.92	114.96	2.250	97.582
10.08	116.62	2.249	97.555
10.25	118.27	2.249	97.528
10.42	119.92	2.248	97.501
10.58	121.58	2.248	97.473
10.75	123.23	2.247	97.447
10.92	124.89	2.246	97.421
11.08	126.54	2.246	97.395
11.25	128.19	2.245	97.370
11.42	129.85	2.245	97.346
11.58	131.50	2.244	97.322
11.75	133.15	2.244	97.300
11.92	134.80	2.243	97.277
12.08	136.46	2.243	97.255
12.25	138.12	2.242	97.234
12.42	139.77	2.242	97.213
12.58	141.42	2.241	97.192
12.75	143.07	2.241	97.172
12.92	144.73	2.240	97.152
13.08	146.38	2.240	97.132
13.25	148.03	2.239	97.114
13.42	149.69	2.239	97.095
13.58	151.35	2.238	97.076
13.75	153.00	2.238	97.058
13.92	154.66	2.238	97.040
14.08	156.30	2.237	97.023
14.25	157.95	2.237	97.007
14.42	159.61	2.236	96.990
14.58	161.26	2.236	96.974
14.75	162.92	2.236	96.958
14.92	164.57	2.235	96.942
15.08	166.22	2.235	96.926
15.25	167.88	2.235	96.910
15.42	169.53	2.234	96.894
15.58	171.18	2.234	96.880
15.75	172.83	2.234	96.865
15.92	174.48	2.233	96.851
16.08	176.14	2.233	96.837
16.25	177.80	2.233	96.823
16.42	179.45	2.232	96.809
16.58	181.10	2.232	96.795
16.75	182.75	2.232	96.781
16.92	184.40	2.231	96.768
17.08	186.05	2.231	96.756
17.25	187.71	2.231	96.743
17.42	189.36	2.230	96.730
17.58	191.01	2.230	96.719
17.75	192.67	2.230	96.708
17.92	194.32	2.230	96.697
18.08	195.97	2.229	96.685
18.25	197.62	2.229	96.674
18.42	199.27	2.229	96.662
18.58	200.92	2.229	96.652
18.75	202.58	2.228	96.642
18.92	204.22	2.228	96.633
19.08	205.88	2.228	96.622
19.25	207.54	2.228	96.611
19.42	209.19	2.227	96.602
19.58	210.84	2.227	96.592
19.75	212.49	2.227	96.582
19.92	214.14	2.227	96.571
20.08	215.80	2.227	96.560
20.25	217.45	2.226	96.551
20.42	219.10	2.226	96.542
20.58	220.75	2.226	96.534
20.75	222.40	2.226	96.524
20.92	224.05	2.226	96.516
21.08	225.70	2.225	96.507
21.25	227.36	2.225	96.497
21.42	229.01	2.225	96.489
21.58	230.66	2.225	96.481
21.75	232.30	2.225	96.472
21.92	233.96	2.224	96.462
22.08	235.62	2.224	96.453
22.25	237.27	2.224	96.444
22.42	238.91	2.224	96.436
22.58	240.56	2.223	96.427
22.75	242.22	2.223	96.418
22.92	243.87	2.223	96.409
23.08	245.52	2.223	96.401
23.25	247.17	2.223	96.395
23.42	248.82	2.223	96.388
23.58	250.47	2.222	96.381
23.75	252.13	2.222	96.375
23.92	253.78	2.222	96.369
24.08	255.43	2.222	96.363
24.25	257.07	2.222	96.356
24.42	258.73	2.222	96.349
24.58	260.38	2.221	96.341
24.75	262.03	2.221	96.334
24.92	263.68	2.221	96.327
25.08	265.33	2.221	96.320
25.25	266.98	2.221	96.313
25.42	268.63	2.221	96.306
25.58	270.28	2.221	96.299
25.75	271.93	2.220	96.291
25.92	273.58	2.220	96.283
26.08	275.22	2.220	96.275
26.25	276.87	2.220	96.267
26.42	278.52	2.220	96.258
26.58	280.17	2.219	96.250
26.75	281.83	2.219	96.241
26.92	283.48	2.219	96.231
27.08	285.13	2.219	96.223
27.25	286.77	2.219	96.213
27.42	288.42	2.218	96.203
27.58	290.07	2.218	96.193
27.75	291.72	2.218	96.183
27.92	293.37	2.218	96.172
28.08	295.02	2.217	96.160
28.25	296.67	2.217	96.149
28.42	298.32	2.217	96.137
28.58	299.96	2.216	96.124
28.75	301.61	2.216	96.110
28.92	303.26	2.216	96.095
29.08	304.91	2.215	96.080
29.25	306.56	2.215	96.064
29.42	308.21	2.215	96.047
29.58	309.85	2.214	96.030
29.75	311.50	2.214	96.012
29.92	313.15	2.213	95.994
30.08	314.80	2.213	95.975
30.25	316.45	2.213	95.954
30.42	318.09	2.212	95.932
30.58	319.74	2.212	95.910
30.75	321.39	2.211	95.885
30.92	323.04	2.210	95.860
31.08	324.69	2.210	95.834
31.25	326.33	2.209	95.807
31.42	327.98	2.208	95.777
31.58	329.63	2.208	95.746
31.75	331.27	2.207	95.714
31.92	332.92	2.206	95.679
32.08	334.57	2.205	95.642
32.25	336.22	2.204	95.603
32.42	337.86	2.204	95.563
32.58	339.51	2.203	95.519
32.75	341.15	2.201	95.473
32.92	342.80	2.200	95.424
33.08	344.45	2.199	95.372
33.25	346.10	2.198	95.319
33.42	347.74	2.197	95.262
33.58	349.39	2.195	95.203
33.75	351.03	2.194	95.140
33.92	352.68	2.192	95.074
34.08	354.33	2.191	95.004
34.25	355.97	2.189	94.930
34.42	357.61	2.187	94.851
34.58	359.26	2.185	94.768
34.75	360.91	2.183	94.681
34.92	362.55	2.181	94.589
35.08	364.20	2.179	94.492
35.25	365.84	2.176	94.390
35.42	367.48	2.174	94.282
35.58	369.13	2.171	94.168
35.75	370.77	2.169	94.049
35.92	372.42	2.166	93.924
36.08	374.06	2.163	93.793
36.25	375.71	2.160	93.654
36.42	377.35	2.156	93.509
36.58	378.99	2.153	93.356
36.75	380.64	2.149	93.197
36.92	382.28	2.145	93.031
37.08	383.93	2.141	92.856
37.25	385.57	2.137	92.674
37.42	387.21	2.133	92.483
37.58	388.86	2.128	92.283
37.75	390.50	2.123	92.075
37.92	392.14	2.118	91.858
38.08	393.79	2.113	91.633
38.25	395.43	2.107	91.397
38.42	397.08	2.102	91.151
38.58	398.72	2.096	90.897
38.75	400.36	2.090	90.632
38.92	402.00	2.083	90.356
39.08	403.64	2.077	90.070
39.25	405.28	2.070	89.774
39.42	406.93	2.063	89.466
39.58	408.57	2.056	89.147
39.75	410.20	2.048	88.817
39.92	411.85	2.040	88.475
40.08	413.49	2.032	88.122
40.25	415.14	2.024	87.758
40.42	416.78	2.015	87.381
40.58	418.42	2.006	86.992
40.75	420.06	1.997	86.592
40.92	421.70	1.987	86.180
41.08	423.34	1.977	85.756
41.25	424.98	1.967	85.320
41.42	426.63	1.957	84.873
41.58	428.27	1.946	84.414
41.75	429.91	1.936	83.945
41.92	431.55	1.925	83.465
42.08	433.19	1.913	82.976
42.25	434.83	1.902	82.477
42.42	436.47	1.890	81.969
42.58	438.11	1.878	81.453
42.75	439.75	1.866	80.929
42.92	441.39	1.854	80.396
43.08	443.03	1.841	79.857
43.25	444.66	1.829	79.312
43.42	446.30	1.816	78.762
43.58	447.94	1.803	78.205
43.75	449.58	1.790	77.643
43.92	451.22	1.777	77.077
44.08	452.85	1.764	76.506
44.25	454.49	1.751	75.929
44.42	456.13	1.737	75.350
44.58	457.77	1.724	74.766
44.75	459.41	1.710	74.179
44.92	461.05	1.697	73.588
45.08	462.68	1.683	72.996
45.25	464.32	1.669	72.402
45.42	465.95	1.656	71.806
45.58	467.59	1.642	71.208
45.75	469.23	1.628	70.610
45.92	470.87	1.614	70.013
46.08	472.50	1.601	69.418
46.25	474.14	1.587	68.825
46.42	475.78	1.573	68.235
46.58	477.41	1.560	67.650
46.75	479.05	1.547	67.071
46.92	480.68	1.533	66.499
47.08	482.32	1.520	65.937
47.25	483.95	1.508	65.384
47.42	485.58	1.495	64.843
47.58	487.22	1.483	64.314
47.75	488.86	1.471	63.800
47.92	490.49	1.460	63.301
48.08	492.13	1.449	62.820
48.25	493.76	1.438	62.356
48.42	495.40	1.428	61.911
48.58	497.03	1.418	61.485
48.75	498.66	1.408	61.081
48.92	500.29	1.400	60.698
49.08	501.92	1.391	60.334
49.25	503.56	1.383	59.993
49.42	505.19	1.376	59.672
49.58	506.82	1.369	59.372
49.75	508.45	1.363	59.091
49.92	510.08	1.357	58.829
50.08	511.72	1.351	58.586
50.25	513.35	1.346	58.363
50.42	514.98	1.341	58.156
50.58	516.61	1.337	57.967
50.75	518.24	1.333	57.792
50.92	519.87	1.329	57.632
51.08	521.51	1.326	57.485
51.25	523.14	1.322	57.350
51.42	524.77	1.320	57.227
51.58	526.40	1.317	57.115
51.75	528.02	1.315	57.012
51.92	529.66	1.312	56.915
52.08	531.29	1.310	56.827
52.25	532.92	1.308	56.746
52.42	534.55	1.307	56.672
52.58	536.17	1.305	56.604
52.75	537.81	1.304	56.540
52.92	539.44	1.302	56.479
53.08	541.07	1.301	56.423
53.25	542.69	1.300	56.370
53.42	544.32	1.299	56.321
53.58	545.95	1.298	56.273
53.75	547.58	1.297	56.228
53.92	549.21	1.296	56.184
54.08	550.84	1.295	56.141
54.25	552.47	1.294	56.102
54.42	554.09	1.293	56.061
54.58	555.72	1.292	56.022
54.75	557.35	1.291	55.986
54.92	558.98	1.290	55.948
55.08	560.60	1.289	55.911
55.25	562.23	1.288	55.872
55.42	563.86	1.287	55.835
55.58	565.48	1.287	55.799
55.75	567.11	1.286	55.763
55.92	568.73	1.285	55.725
56.08	570.36	1.284	55.688
56.25	571.98	1.283	55.650
56.42	573.61	1.282	55.612
56.58	575.23	1.281	55.574
56.75	576.84	1.281	55.537
56.92	578.47	1.280	55.499
57.08	580.10	1.279	55.462
57.25	581.72	1.278	55.426
57.42	583.35	1.277	55.393
57.58	584.98	1.277	55.362
57.75	586.59	1.276	55.334
57.92	588.21	1.275	55.308
58.08	589.84	1.275	55.286
58.25	591.45	1.274	55.265
58.42	593.06	1.274	55.244
58.58	594.67	1.273	55.227
58.75	596.26	1.273	55.212

